city,source_type,no,service_name,original_field,dept,ai_flag,budget,executed,exec_rate,status,delay_reason,note,field_code,field_name,service_type,ai_keyword,ai_real,delay_code,geo_tag,imd_code,imd_area
거제시,이행실적,1,스마트시설물 안전관리,스마트 행정,도시계획과,O,1500,0,0,미추진,노후시설 중 시범대상 선정 검토계획,IoT 센서·빅데이터 기반 시설물 관리,F01,행정,대화행정형,Y,N,D07,universal,GOV,Governance
거제시,이행실적,2,실시간 신호제어,스마트 교통,도시계획과,,1861,658,35.3,완료,,145개소 설치 완료,F02,교통,물리제어형,,,,urban,MOB,Mobility
거제시,이행실적,3,돌발상황 관리 CCTV,스마트 교통,도시계획과,,601,200,33.3,완료,,14개소 설치 완료,F02,교통,물리제어형,,,,universal,MOB,Mobility
거제시,이행실적,4,주정차 위반 단속 CCTV,스마트 교통,도시계획과,,66,198,233,추진중,,"11대 설치 완료, 2대 추가계획('26)",F02,교통,물리제어형,,,,urban,MOB,Mobility
거제시,이행실적,5,스마트 횡단보도,스마트 교통,도시계획과,,100,100,100,완료,,13개소 설치 완료,F02,교통,물리제어형,,,,urban,MOB,Mobility
거제시,이행실적,6,이륜차 무인계도 서비스,스마트 교통,도시계획과,,300,90,30,완료,,"3개소 설치, 경찰청 미승인으로 추가 설치 불가·사업 종료",F02,교통,물리제어형,,,,universal,MOB,Mobility
거제시,이행실적,7,공유주차정보 서비스,스마트 교통,도시계획과,,300,0,0,미추진,공영주차장 추가 확보 후 공모사업으로 추진 계획,,F02,교통,물리제어형,,,D07,urban,MOB,Mobility
거제시,이행실적,8,버스 정보 안내기 서비스,스마트 교통,도시계획과,,570,999,175.3,추진중,,"전면·측면·실내 전광판 64식, 후면 100식, 안내기 교체 50식·신규 14식",F02,교통,물리제어형,,,,universal,MOB,Mobility
거제시,이행실적,9,디지털 트윈 서비스,스마트 교통,도시계획과,O,600,0,0,미추진,"대규모 예산 소요, 스마트도시 고도화단계에서 구축 필요, 공모사업 추진 시 검토",디지털트윈·빅데이터 연계,F02,교통,물리제어형,Y,Y,D07,universal,MOB,Mobility
거제시,이행실적,10,스마트 안전 교차로,스마트 교통,도시계획과,,300,650,163.3,완료,,49개소 누적 설치 완료,F02,교통,물리제어형,,,,urban,MOB,Mobility
